Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Save Bits S12	Save Add S12	Save Param Bits S12	*eol
curse_resistance	109			9											159	33	1024		14	0	8	100																	100	2	1	ModReduceCurseDuration	ModReduceCurseDuration									9	0		0
item_poisonlengthresist	110		1	9											27	10	1024		8	20	8	20																	18	2	2	ModStr3r	ModStr3r									8	20		0
item_normaldamage	111		1	10											94	100	1024		7	20	10	100												1					122	1	2	ModStr5b	ModStr5b									9	20		0
item_howl	112		1	8							1				55	10	1024		7	-1	7	-1												1	domeleedamage	8	domissiledamage	8	79	5	2	ModStr3u	ModStr3u									7	-1		0
item_stupidity	113		1	8							1				332	1024	1024		7	0	7	0												1	domeleedamage	9	domissiledamage	9	80	12	2	ModStr6d	ModStr6d									7	0		0
item_damagetomana	114		1	7							1				43	20	1024		6	0	7	0													damagedinmelee	13	damagedbymissile	13	11	2	1	ModStr3w_PD2	ModStr3w_PD2									6	0		0
item_ignoretargetac	115		1	2											1088	1024	1024		1	0	1	0												1					119	3	0	ModStr3y	ModStr3y									1	0		0
item_fractionaltargetac	116		1	8											67	20	1024		7	0	7	0												1					118	20	1	ModStr5o	ModStr5o									7	0		0
item_preventheal	117		1	8											48	50	1024		7	0	7	0												1					81	3	0	ModStr4a	ModStr4a									7	0		0
item_halffreezeduration	118		1	2											5096	988	1024		1	0	1	0																	19	3	0	ModStr4b	ModStr4b									1	0		0
item_tohit_percent	119		1	12											981	40	1024		9	20	9	20												1					117	2	1	ModStr4c	ModStr4c									9	20		0
item_damagetargetac	120		1	10											24	-20	1024		10	256	10	256												1					75	1	1	ModStr4d	ModStr4d									10	256		0
item_demondamage_percent	121		1	12											19	12	1024		9	20	10	100												1					112	4	1	ModStr4e	ModStr4e									9	20		0
item_undeaddamage_percent	122		1	12											13	12	1024		9	20	10	100												1					108	4	1	ModStr4f	ModStr4f									9	20		0
item_demon_tohit	123		1	13											15	7	1024		10	128	10	128												1					110	1	1	ModStr4j	ModStr4j									10	128		0
item_undead_tohit	124		1	13											11	7	1024		10	128	10	128												1					106	1	1	ModStr4k	ModStr4k									10	128		0
item_throwable	125		1	2											82	1024	1024		1	0	1	0																	5	3	0	ModStr5a	ModStr5a									1	0		0
item_elemskill	126		1	4	3						1				76	1024	1024		4	0	4	0	4																1													3	0	3	0
item_allskills	127		1	5							1				15123	4096	1024		3	0	4	0																	158	1	1	ModStr3k	ModStr3k									3	0		0
item_attackertakeslightdamage	128		1	6							1				4	102	1024		11	0	11	0												1	attackedinmelee	6	hitbymissile	6	14	3	2	ModStr3j	ModStr3j									11	0		0
ironmaiden_level	129		1	10													1024																																						0
lifetap_level	130		1	10													1024																																						0
thorns_percent	131			12													1024																																						0
bonearmor	132		1	32													1024																																						0
bonearmormax	133		1	32													1024																																						0
item_freeze	134		1	5							1				666	12	1024		5	0	5	0												1	domeleedamage	14	domissiledamage	14	78	12	2	ModStr3l	ModStr3l									5	0		0
item_openwounds	135		1	7							1				23	10	1024		7	0	7	0												1	domeleedamage	15	domissiledamage	15	83	4	1	ModStr3m	ModStr3m									7	0		0
item_crushingblow	136		1	7							1				98	40	1024		7	0	7	0												1	domeleedamage	16	domissiledamage	16	87	4	1	ModStr5c	ModStr5c									7	0		0
item_kickdamage	137		1	7											77	51	1024		7	0	7	0																	121	1	1	ModStr5e	ModStr5e									7	0		0
item_manaafterkill	138		1	7							1				17	102	1024		7	0	7	0													kill	17			16	1	1	ModStr5f	ModStr5f									7	0		0
item_healafterdemonkill	139		1	7							1				18	102	1024		7	0	7	0													kill	18			15	1	1	ModStr6c	ModStr6c									7	0		0
item_extrablood	140		1	7											15	10	1024		7	0	7	0												1																		7	0		0
item_deadlystrike	141		1	7											31	25	1024		7	0	7	0												1					85	4	1	ModStr5q	ModStr5q									7	0		0
item_absorbfire_percent	142		1	7											5486	102	1024		7	0	7	0																	23	2	2	ModStr5g	ModStr5g									7	0		0
item_absorbfire	143		1	7											1739	204	1024		7	0	7	0																	27	1	1	ModStr5h	ModStr5h									7	0		0
item_absorblight_percent	144		1	7											5486	102	1024		7	0	7	0																	24	2	2	ModStr5i	ModStr5i									7	0		0
item_absorblight	145		1	7											1739	204	1024		7	0	7	0																	29	1	1	ModStr5j	ModStr5j									7	0		0
item_absorbmagic_percent	146		1	7											5486	102	1024		7	0	7	0																	26	2	2	ModStr5k	ModStr5k									7	0		0
item_absorbmagic	147		1	7											1739	204	1024		7	0	7	0																	33	1	1	ModStr5l	ModStr5l									7	0		0
item_absorbcold_percent	148		1	7											5486	102	1024		7	0	7	0																	25	2	2	ModStr5m	ModStr5m									7	0		0
item_absorbcold	149		1	7											1739	204	1024		7	0	7	0																	31	1	1	ModStr5n	ModStr5n									7	0		0
item_slow	150		1	7							1				101	40	1024		7	0	7	0												1	domeleedamage	19	domissiledamage	19	77	2	2	ModStr5r	ModStr5r									7	0		0
item_aura	151		1								1						1024		7	0	6	0	9																159	16	0	ModitemAura	ModitemAura									5	0	9	0
item_indesctructible	152		1	1													1024		7	0	1																		160	3	0	ModStre9s	ModStre9s									1			0
item_cannotbefrozen	153		1	2											15011	2048	1024		1		1																		20	3	0	ModStr5z	ModStr5z									1			0
item_staminadrainpct	154		1	7											102	20	1024		7	20	7	20												1					49	2	1	ModStr6e	ModStr6e									7	20		0
item_reanimate	155			7	10						1						1024		7	0	7	0	10											1	kill	31			17	23	1	Moditemreanimas	Moditemreanimas									7	0	10	0
item_pierce	156		1	7											1924	2048	1024		7	0	7	0												1					132	4	1	ModPierceChance	ModPierceChance									7	0		0
item_magicarrow	157		1	7											511	1024	1024		7	0	7	0																	131	3	0	ModStr6h	ModStr6h									7	0		0
item_explosivearrow	158		1	7											492	1536	1024		7	0	7	0																	133	3	0	ModStr6i	ModStr6i									7	0		0
item_throw_mindamage	159		1	8											76	128	1024		6	0	8	50												1																		6	0		0
item_throw_maxdamage	160		1	8											88	128	1024		7	0	8	50												1																		7	0		0
skill_handofathena	161		1	12													1024																																						0
skill_staminapercent	162		1	13													1024								1			maxstamina																											0
skill_passive_staminapercent	163		1	12													1024								1			maxstamina																											0
skill_concentration	164		1	12													1024																																						0
skill_enchant	165		1	12													1024																																						0
skill_pierce	166		1	12													1024																																						0
skill_conviction	167		1	12													1024																																						0
skill_chillingarmor	168		1	12													1024																																						0
skill_frenzy	169		1	12													1024																																						0
skill_decrepify	170		1	12													1024																																						0
skill_armor_percent	171		1	16													1024																																						0
alignment	172	1		2													1024																																						0
target0	173			32													1024																																						0
target1	174			32													1024																																						0
goldlost	175			24													1024																																						0
conversion_level	176			8													1024																																						0
conversion_maxhp	177			16													1024																																						0
unit_dooverlay	178			16													1024																																						0
attack_vs_montype	179			10	10										19	14	1024		3	0	10		10											1					108	22	1	ModitemAttratvsM	ModitemAttratvsM									9		10	0
damage_vs_montype	180			10	10										27	17	1024		3	0	10		10											1					106	22	1	Moditemdamvsm	Moditemdamvsm									9		10	0
fade	181	1		7															14	0	3																															3			0
armor_override_percent	182	1	1	8															14	0																																			0
equipped_eth	183		1	1													1024		7	0	1																															1			0
missing_hp	184																		14	0																																			0
uber_difficulty	185			5													1024		5	0	5	0																	100	3	2	MapTier	MapTier									5	0		0
map_glob_boss_dropskillers	186			2											1065	72	2007		2	0	2	0																	208	3	0	MapBossSkillers	MapBossSkillers									2	2		0
map_glob_boss_dropcorruptedunique	187			2											1065	72	2008		2	0	2	0																	208	3	0	MapBossCorruptedUnique	MapBossCorruptedUnique									2	2		0
item_addskill_tab	188		1	4	6						1				11042	768	1024		10	0	4	0	16																151	14		StrSklTabItem1	StrSklTabItem1									3	0	16	0
openwounds_stack	189			5													1024		5	0	5	0																														5	0		0
curse_slots	190			3													1024		3		3																															3			0
item_skillonequip	191		1								1						1024		7	0	6	0	12																159	16	0	ModitemSkillOnEquip	ModitemSkillOnEquip									5	0	12	0
extra_shadow	192		1	5													1024		6		5																		149	1	1	ExtraShadow	ExtraShadow									5			0
extra_spiritwolf	193		1	5													1024		6		5																		149	1	1	ExtraSpiritWolf	ExtraSpiritWolf									5			0
item_numsockets	194		1	4											38	170	1024		4	0	4	0											1																			4	0		0
item_skillonattack	195		1	7	16						1			2	190	256	1024		21	0	7	0	16											1	domeleeattack	20	domissileattack	20	160	15		ItemExpansiveChancX	ItemExpansiveChancX									7	0	16	0
item_skillonkill	196		1	7	16						1			2	85	19	1024		21	0	7	0	16											1	kill	30			160	15		ModitemskonKill	ModitemskonKill									7	0	16	0
item_skillondeath	197		1	7	16						1			2	11	9	1024		21	0	7	0	16												killed	30			160	15		Moditemskondeath	Moditemskondeath									7	0	16	0
item_skillonhit	198		1	7	16						1			2	190	256	1024		21	0	7	0	16											1	domeleedamage	20	domissiledamage	20	160	15		ItemExpansiveChanc1	ItemExpansiveChanc1									7	0	16	0
item_skillonlevelup	199		1	7	16						1			2	7	6	1024		21	0	7	0	16												levelup	30			160	15		ModitemskonLevel	ModitemskonLevel									7	0	16	0
item_skilloncast	200		1	7	16						1			2	190	256	1024		21	0	7	0	16												dospellcast	33			160	15		ModItemSkOnCast	ModItemSkOnCast									7	0	16	0
item_skillongethit	201		1	7	16						1			2	190	256	1024		21	0	7	0	16												damagedinmelee	21	damagedbymissile	21	160	15		ItemExpansiveChanc2	ItemExpansiveChanc2									7	0	16	0
item_skillonblock	202		1	7	16						1			2	190	256	1024		21	0	7	0	16												doblock	30			160	15		ModItemSkOnBlock	ModItemSkOnBlock									7	0	16	0
item_skilloncrit	203		1	7	16						1			2	190	256	1024		21	0	7	0	16												docrit	30			160	15		ModItemSkOnCrit	ModItemSkOnCrit									7	0	16	0
item_charged_skill	204		1	30							1			3	401	256	1024		30	0	16	0	16																1	24		ModStre10d	ModStre10d									16	0	16	0
item_skillonpierce	205		1	7	16						1			2	190	256	1024		21	0	7	0	16												dopierce	30			160	15		ModItemSkOnPierce	ModItemSkOnPierce									7	0	16	0
desecrated	206			10	10										54	204	1024		8	0	2	0																	246	3	0	StrDesecrated	StrDesecrated									10	0	10	0
desecrator	207			1	16											54	1024				1	0																	245	0	0	StrCorruptNum	StrCorruptNum									12	0		0
progressive_mindblast	208		1	8													1024																																						0
joustreduction_zeraes	209		1	5													1024		6		6																		150	3	0	JoustreductionZeraes	JoustreductionZeraes									6			0
item_maxdeadlystrike	210		1	7											31	25	1024		7	0	7	0												1					85	4	2	StrMaxDeadlyStrike	StrMaxDeadlyStrike									7	0		0
map_glob_boss_dropubermats	211			2											1065	72	2009		2	0	2	0																	208	3	0	MapBossUberMats	MapBossUberMats									2	2		0
map_glob_boss_droppuzzlebox	212			2											1065	72	2009		2	0	2	0																	208	3	0	MapBossPuzzlebox	MapBossPuzzlebox									2	2		0
item_mindamage_energy	213		1	6											90	128	1024		6	0	6	0			4	3	energy	mindamage	secondary_mindamage	item_throw_mindamage				1					53	6	1	ModStr1g	ModStr1g	increaseswithenergy								6	0		0
item_armor_perlevel	214		1	6											43	42	1024		6	0	6	0			4	3	level	armorclass											72	6	1	ModStr1i	ModStr1i	increaseswithplaylevelX								6	0		0
item_armorpercent_perlevel	215		1	6											87	100	1024		6	0	6	0			5	3	level	armorclass											73	8	1	Modstr2v	Modstr2v	increaseswithplaylevelX								6	0		0
item_hp_perlevel	216		1	6											92	64	1024	8	6	0	6	0			2	3	level	maxhp											57	6	1	ModStr1u	ModStr1u	increaseswithplaylevelX								6	0		0
item_mana_perlevel	217		1	6											90	128	1024	8	6	0	6	0			2	3	level	maxmana											53	6	1	ModStr1e	ModStr1e	increaseswithplaylevelX								6	0		0
item_maxdamage_perlevel	218		1	6											54	204	1024		5	0	6	0			4	3	level	maxdamage	secondary_maxdamage	item_throw_maxdamage				1					125	6	1	ModStr1f	ModStr1f	increaseswithplaylevelX								5	0		0
item_maxdamage_percent_perlevel	219		1	6											86	100	1024		6	0	6	0			5	3	level	maxdamage	secondary_maxdamage	item_throw_maxdamage				1					128	8	1	ModStr2j	ModStr2j	increaseswithplaylevelX								6	0		0
item_strength_perlevel	220		1	6											132	128	1024		6	0	6	0			2	3	level	strength											66	6	1	ModStr1a	ModStr1a	increaseswithplaylevelX								6	0		0
item_dexterity_perlevel	221		1	6											132	128	1024		6	0	6	0			2	3	level	dexterity											64	6	1	ModStr1b	ModStr1b	increaseswithplaylevelX								6	0		0
item_energy_perlevel	222		1	6											105	128	1024		6	0	6	0			2	3	level	energy											60	6	1	ModStr1d	ModStr1d	increaseswithplaylevelX								6	0		0
item_vitality_perlevel	223		1	6											105	128	1024		6	0	6	0			2	3	level	vitality											62	6	1	ModStr1c	ModStr1c	increaseswithplaylevelX								6	0		0
item_tohit_perlevel	224		1	6											53	20	1024		6	0	6	0			2	1	level	tohit						1					114	6	1	ModStr1h	ModStr1h	increaseswithplaylevelX								6	0		0
item_tohitpercent_perlevel	225		1	6											10	256	1024		6	0	6	0			2	1	level	item_tohit_percent						1					116	7	1	ModStr4c	ModStr4c	increaseswithplaylevelX								6	0		0
item_cold_damagemax_perlevel	226		1	6											1058	340	1024		6	0	6	0			2	3	level	coldmaxdam						1					94	6	1	ModStr1s	ModStr1s	increaseswithplaylevelX								6	0		0
item_fire_damagemax_perlevel	227		1	6											49	128	1024		6	0	6	0			2	3	level	firemaxdam						1					100	6	1	ModStr1o	ModStr1o	increaseswithplaylevelX								6	0		0
item_ltng_damagemax_perlevel	228		1	6											49	128	1024		6	0	6	0			2	3	level	lightmaxdam						1					97	6	1	ModStr1q	ModStr1q	increaseswithplaylevelX								6	0		0
item_pois_damagemax_perlevel	229		1	6											49	128	1024		6	0	6	0			2	3	level	poisonmaxdam						1					90	6	1	ModStr4h	ModStr4h	increaseswithplaylevelX								6	0		0
item_resist_cold_perlevel	230		1	6											101	128	1024		6	0	6	0			2	3	level	coldresist											39	7	2	ModStr1k	ModStr1k	increaseswithplaylevelX								6	0		0
item_resist_fire_perlevel	231		1	6											101	128	1024		6	0	6	0			2	3	level	fireresist											35	7	2	ModStr1j	ModStr1j	increaseswithplaylevelX								6	0		0
item_resist_ltng_perlevel	232		1	6											101	128	1024		6	0	6	0			2	3	level	lightresist											37	7	2	ModStr1l	ModStr1l	increaseswithplaylevelX								6	0		0
item_resist_pois_perlevel	233		1	6											101	128	1024		6	0	6	0			2	3	level	poisonresist											33	7	2	ModStr1n	ModStr1n	increaseswithplaylevelX								6	0		0
item_absorb_cold_perlevel	234		1	6											207	340	1024		6	0	6	0			2	3	level	item_absorbcold											32	6	1	ModStre9p	ModStre9p	increaseswithplaylevelX								6	0		0
item_absorb_fire_perlevel	235		1	6											207	340	1024		6	0	6	0			2	3	level	item_absorbfire											28	6	1	ModStre9o	ModStre9o	increaseswithplaylevelX								6	0		0
item_absorb_ltng_perlevel	236		1	6											207	340	1024		6	0	6	0			2	3	level	item_absorblight											30	6	1	ModStre9q	ModStre9q	increaseswithplaylevelX								6	0		0
item_absorb_pois_perlevel	237		1	6											207	340	1024		6	0	6	0			2	3	level	item_absorbmagic																								6	0		0
item_thorns_perlevel	238		1	6											55	256	1024		12	0	12	0			2	3	level	item_attackertakesdamage											12	9	2	ModStr1v	ModStr1v	increaseswithplaylevelX								12	0		0
item_find_gold_perlevel	239		1	6											42	256	1024		6	0	6	0			2	3	level	item_goldbonus											9	7	1	ModStr1w	ModStr1w	increaseswithplaylevelX								6	0		0
item_find_magic_perlevel	240		1	6											814	1024	1024		6	0	6	0			2	3	level	item_magicbonus											7	7	1	ModStr1x	ModStr1x	increaseswithplaylevelX								6	0		0
item_regenstamina_perlevel	241		1	6											79	256	1024		6	0	6	0			2	3	level	staminarecoverybonus											47	8	2	ModStr3v	ModStr3v	increaseswithplaylevelX								6	0		0
item_stamina_perlevel	242		1	6											104	64	1024		6	0	6	0			2	3	level	maxstamina											50	6	1	ModStr5d	ModStr5d	increaseswithplaylevelX								6	0		0
item_damage_demon_perlevel	243		1	6											56	10	1024		6	0	6	0			2	3	level	item_demondamage_percent						1					111	8	1	ModStr4e	ModStr4e	increaseswithplaylevelX								6	0		0
